序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
243,煤炭概念,2097.29,-2.56,118.1,149.55,-31.45,89,*ST瑞茂,4.63,1.13
244,合成生物,1411.67,-2.56,137.19,163.12,-25.93,167,正帆科技,20.0,56.22
245,2025年报预增,1156.79,-2.56,2232.53,2648.4,-415.87,504,金春股份,11.75,31.77
246,化债概念(AMC概念),1042.5,-2.57,18.39,25.24,-6.84,42,*ST高科,5.01,11.31
247,垃圾分类,1717.04,-2.57,56.21,64.88,-8.67,98,星帅尔,3.27,13.89
248,DeepSeek概念,1536.99,-2.57,1348.13,1699.47,-351.34,769,雷曼光电,19.98,12.13
249,人形机器人,2562.91,-2.58,1567.11,1902.71,-335.6,456,骄成超声,16.38,208.3
250,独角兽概念,1866.06,-2.59,260.47,332.81,-72.34,109,贤丰控股,9.92,5.76
251,人形机器人,2565.97,-2.46,1563.32,1898.48,-335.16,456,骄成超声,13.54,203.22
252,动物疫苗,1329.01,-2.46,18.43,22.02,-3.59,20,贤丰控股,9.92,5.76
253,垃圾分类,1718.86,-2.47,55.69,64.5,-8.81,98,星帅尔,3.42,13.91
254,PVDF概念,1584.95,-2.48,82.69,102.8,-20.11,18,永和股份,6.51,41.41
255,星闪概念,1418.98,-2.49,123.31,162.4,-39.09,74,创远信科,11.24,24.35
256,特高压,5270.93,-2.49,537.52,666.39,-128.86,130,白云电器,10.04,14.25
257,钛白粉概念,1959.56,-2.5,19.87,21.43,-1.57,15,钒钛股份,2.83,3.27
258,特斯拉概念,5778.3,-2.51,933.7,1181.95,-248.24,249,长信科技,14.19,11.76
259,人脸识别,1290.2,-2.52,186.65,197.11,-10.46,109,乾照光电,11.33,24.69
260,物联网,2985.58,-2.53,1549.41,1806.19,-256.78,463,海川智能,10.57,89.0
261,CRO概念,806.647,-2.53,95.76,116.24,-20.48,73,百诚医药,12.54,59.77
262,特钢概念,2896.77,-2.54,26.55,37.58,-11.03,42,悦安新材,-0.75,46.33
263,参股保险,1273.91,-2.54,66.83,88.42,-21.59,116,中国石油,1.82,8.97
264,汽车拆解概念,1565.51,-2.55,38.21,52.01,-13.8,48,中力股份,9.99,36.89
265,比亚迪概念,2046.82,-2.55,1928.47,2280.29,-351.83,675,戈碧迦,14.34,164.65
266,超导概念,2757.29,-2.56,192.52,269.35,-76.83,32,洁美科技,5.19,102.15
267,NFT概念,1492.13,-2.57,57.56,73.24,-15.68,70,奥飞娱乐,2.81,6.59
268,语音技术,1833.8,-2.57,89.97,110.66,-20.69,62,川大智胜,10.02,10.87
269,数字乡村,1650.97,-2.57,135.7,154.73,-19.04,100,软通动力,11.62,41.51
270,烟草,1483.42,-2.58,20.95,27.05,-6.1,41,大胜达,10.0,18.81
271,拼多多概念,1525.7,-2.58,23.86,27.77,-3.91,40,返利科技,9.99,10.79
272,同花顺出海50,1782.95,-2.58,750.43,1004.6,-254.17,50,金风科技,6.8,23.39
273,民营医院,1321.16,-2.59,177.22,174.96,2.26,73,ST司特,4.44,6.11
274,锂电池概念,2078.5,-2.59,2091.91,2536.54,-444.63,602,信德新材,20.0,75.6
275,毫米波雷达,2243.91,-2.6,755.13,881.24,-126.11,126,创远信科,11.24,24.35
276,汽车热管理,2094.97,-2.61,188.07,233.39,-45.32,141,祥鑫科技,10.01,51.88
277,芬太尼,1939.22,-2.62,2.01,3.29,-1.28,8,羚锐制药,-0.05,19.36
278,智能座舱,1707.03,-2.62,882.54,966.05,-83.52,169,长信科技,14.19,11.76
279,AIGC概念,1885.19,-2.62,393.92,506.53,-112.6,291,佳创视讯,20.02,9.77
280,ChatGPT概念,1661.12,-2.63,226.53,290.63,-64.1,140,*ST开元,19.76,3.01
281,两轮车,1612.57,-2.64,77.2,106.3,-29.1,75,九号公司,6.3,37.81
282,同花顺新质50,2442.28,-2.67,760.98,868.31,-107.33,50,中科飞测,7.83,357.98
283,超级电容,3808.04,-2.69,352.02,446.42,-94.4,44,火炬电子,6.34,79.89
284,智能电网,3882.56,-2.69,786.78,999.43,-212.65,276,电科蓝天,11.53,70.93
285,Web3.0,1659.91,-2.71,119.86,142.95,-23.09,65,佳创视讯,20.02,9.77
286,工业母机,2096.99,-2.71,299.42,389.48,-90.07,112,沃尔德,11.1,142.39
287,基因测序,1819.82,-2.71,73.9,99.81,-25.91,70,波长光电,6.74,93.5
288,高压快充,2017.17,-2.72,355.58,448.5,-92.92,123,信德新材,20.0,75.6
289,宁德时代概念,2520.53,-2.72,1078.41,1313.38,-234.97,293,骄成超声,13.54,203.22
290,百度概念,1821.51,-2.73,537.87,675.03,-137.16,232,佳创视讯,20.02,9.77
291,黄金概念,3502.28,-2.75,214.07,279.07,-64.99,81,贵研铂业,6.24,28.27
292,高压氧舱,1027.41,-2.75,5.86,7.3,-1.45,11,杭氧股份,1.22,29.01
293,数据要素,1118.81,-2.76,506.15,675.06,-168.91,391,软通动力,11.62,41.51
294,DRG/DIP,881.962,-2.77,7.76,9.39,-1.63,22,麦迪科技,1.2,21.14
295,AI应用,800.177,-2.77,734.68,884.45,-149.76,508,华凯易佰,14.21,17.12
296,量子科技,2516.79,-2.77,605.35,802.9,-197.55,113,富吉瑞,11.65,36.98
297,ERP概念,1266.29,-2.78,41.64,41.67,-0.04,35,杰恩股份,16.28,65.66
298,眼科医疗,1577.59,-2.79,51.11,71.4,-20.29,58,百诚医药,12.54,59.77
299,天津自贸区,1035.45,-2.84,11.07,13.38,-2.31,16,津滨发展,-0.59,1.68
300,知识产权保护,1533.95,-2.85,29.78,38.97,-9.19,51,创业黑马,1.18,27.38
